model	dockq	fnat	irmsd	lrmsd	mapping	error
vanilla_80_seq.pdb	0.369	NA	0.336	1.506	HL:HL	
vanilla_81_seq.pdb	0.343	NA	0.39	1.444	HL:HL	
vanilla_82_seq.pdb	0.355	NA	0.591	1.586	HL:HL	
vanilla_83_seq.pdb	0.33	NA	0.912	1.47	HL:HL	
vanilla_84_seq.pdb	0.316	NA	1.094	2.032	HL:HL	
vanilla_85_seq.pdb	0.333	NA	0.584	1.238	HL:HL	
vanilla_86_seq.pdb	0.371	NA	0.349	0.998	HL:HL	
vanilla_87_seq.pdb	0.338	NA	0.499	2.454	HL:HL	
vanilla_88_seq.pdb	0.36	NA	0.487	1.3	HL:HL	
vanilla_89_seq.pdb	0.339	NA	0.458	1.532	HL:HL	
vanilla_8_seq.pdb	0.265	NA	2.075	2.163	HL:HL	
vanilla_90_seq.pdb	0.348	NA	0.749	1.689	HL:HL	
vanilla_91_seq.pdb	0.341	NA	0.755	2.189	HL:HL	
vanilla_92_seq.pdb	0.368	NA	0.311	1.696	HL:HL	
vanilla_93_seq.pdb	0.323	NA	0.725	1.67	HL:HL	
vanilla_94_seq.pdb	0.29	NA	1.088	1.803	HL:HL	
vanilla_95_seq.pdb	0.363	NA	0.423	1.242	HL:HL	
vanilla_96_seq.pdb	0.344	NA	0.533	1.241	HL:HL	
vanilla_97_seq.pdb	0.329	NA	0.569	1.731	HL:HL	
vanilla_98_seq.pdb	0.363	NA	0.308	1.473	HL:HL	
vanilla_99_seq.pdb	0.359	NA	0.374	1.364	HL:HL	
vanilla_9_seq.pdb	0.318	NA	0.792	1.493	HL:HL	
